accident_id,accident_date,location,severity
A000001,2024-06-19,South Chase,Severe
A000002,2024-12-06,South Ralph,Moderate
A000003,2024-08-26,Hernandezburgh,Moderate
A000004,2023-07-29,Bateschester,Moderate
A000005,2023-03-13,Markport,Moderate
A000006,2024-10-28,Karenbury,Severe
A000007,2024-11-09,Mitchellbury,Severe
A000008,2023-10-14,Barberburgh,Moderate
A000009,2023-08-31,Kimberlyland,Severe
A000010,2024-09-23,Port Kyleshire,Minor
A000011,2024-03-02,South Christopher,Moderate
A000012,2024-10-25,South Ianport,Minor
A000013,2024-09-08,South Kevin,Minor
A000014,2025-01-09,Davidborough,Moderate
A000015,2024-02-12,Lake Keithport,Minor
A000016,2024-09-22,Susanbury,Severe
A000017,2024-02-09,New Saraville,Severe
A000018,2024-12-12,North Margaretville,Minor
A000019,2023-11-04,New Garyshire,Minor
A000020,2023-07-09,North Emily,Minor
A000021,2024-11-01,Sarahside,Minor
A000022,2024-06-11,North Lindsey,Severe
A000023,2023-05-16,Smithton,Severe
A000024,2024-08-01,Amyshire,Severe
A000025,2024-02-02,Blaketown,Severe
A000026,2023-08-29,Hallborough,Moderate
A000027,2024-02-15,Justinfurt,Moderate
A000028,2025-02-19,Ronaldfurt,Moderate
A000029,2024-11-19,Brittanyville,Severe
A000030,2023-11-24,North Jillside,Severe
A000031,2024-01-22,Campbellshire,Minor
A000032,2024-02-10,North Jillian,Moderate
A000033,2025-01-27,West Christine,Moderate
A000034,2024-10-11,Richberg,Minor
A000035,2023-03-19,North Elizabethchester,Minor
A000036,2024-01-26,Trevormouth,Moderate
A000037,2024-09-12,East Elizabeth,Severe
A000038,2024-01-09,West Thomasside,Severe
A000039,2024-09-08,Pierceton,Moderate
A000040,2024-10-19,Lucaschester,Minor
A000041,2023-10-11,Michellehaven,Minor
A000042,2023-05-24,Campbellchester,Moderate
A000043,2025-01-13,Cameronshire,Severe
A000044,2024-07-14,New Kevin,Moderate
A000045,2024-05-14,Johnsonburgh,Minor
A000046,2023-07-27,Colemanborough,Minor
A000047,2024-07-19,Amyside,Severe
A000048,2023-12-16,East Tracystad,Moderate
A000049,2023-07-13,Butlerborough,Severe
A000050,2024-03-13,North Cameron,Moderate
A000051,2024-10-14,Kennethview,Severe
A000052,2023-05-24,Guzmanport,Minor
A000053,2025-01-30,Ethantown,Severe
A000054,2024-04-30,Port Blake,Severe
A000055,2023-07-05,Geraldchester,Moderate
A000056,2024-05-06,Browntown,Minor
A000057,2024-01-25,West Scottbury,Minor
A000058,2024-12-24,West Angela,Severe
A000059,2024-05-07,Christophermouth,Severe
A000060,2024-05-10,East Bethview,Moderate
A000061,2024-07-11,Jenkinschester,Severe
A000062,2024-12-25,Port Rhondatown,Severe
A000063,2024-10-08,Roberttown,Minor
A000064,2025-01-13,Randyville,Severe
A000065,2024-03-29,Millerborough,Moderate
A000066,2024-06-25,North Eric,Severe
A000067,2025-01-24,Gutierrezshire,Minor
A000068,2023-07-22,Elizabethfurt,Minor
A000069,2024-03-18,Taylorchester,Minor
A000070,2023-06-05,North Thomasside,Moderate
A000071,2023-09-27,North Douglas,Minor
