location,rejection_rate
Zoeview,1.0
Katiefurt,1.0
South Brandonfurt,1.0
South Brandon,1.0
South Billy,1.0
Kevinland,1.0
Kevinport,1.0
South Bethanyburgh,1.0
South Benjamin,1.0
South Beckymouth,1.0
Kiddville,1.0
South Ashleyside,1.0
Kimberlyshire,1.0
Kimberlyton,1.0
Kimberlyville,1.0
Kimbury,1.0
Kimview,1.0
South Arthurstad,1.0
Kingburgh,1.0
Kingbury,1.0
Kingfort,1.0
Kingland,1.0
South Anthonyview,1.0
Kerrytown,1.0
Kennethview,1.0
Kennethtown,1.0
Kelleyland,1.0
Kaylastad,1.0
South Cameronhaven,1.0
South Calvin,1.0
South Caitlinshire,1.0
South Brookebury,1.0
Keithport,1.0
Keithshire,1.0
Keithtown,1.0
South Brooke,1.0
Kelleystad,1.0
Kennethstad,1.0
Kellieborough,1.0
Kellybury,1.0
South Brianchester,1.0
Kellyview,1.0
South Brendashire,1.0
Kelseyville,1.0
Kennedyland,1.0
Kennethfurt,1.0
South Brenda,1.0
South Anthonyburgh,1.0
South Annmouth,1.0
Knoxport,1.0
Lake Benjaminshire,1.0
Snyderville,1.0
Snyderland,1.0
Lake Ashleymouth,1.0
Lake Ashleyshire,1.0
Lake Austinfort,1.0
Lake Austinton,1.0
Lake Barry,1.0
Lake Belinda,1.0
Lake Benjamin,1.0
Lake Beth,1.0
Lake Aprilfort,1.0
Lake Beverlyshire,1.0
Smithfort,1.0
Lake Brendaside,1.0
Lake Brianborough,1.0
Skinnermouth,1.0
Lake Carl,1.0
Simonbury,1.0
Simmonston,1.0
Simmonshaven,1.0
Lake Arthur,1.0
Soniaville,1.0
Kristenborough,1.0
South Aliciachester,1.0
Kristinberg,1.0
Kristinfurt,1.0
South Amandamouth,1.0
South Amandachester,1.0
Kylehaven,1.0
Kylemouth,1.0
South Amanda,1.0
Kyleview,1.0
Laceyview,1.0
Lake Alexanderhaven,1.0
Sophiamouth,1.0
Lake Alexandriamouth,1.0
Lake Aliciashire,1.0
Lake Amandahaven,1.0
South Alan,1.0
Lake Andreamouth,1.0
Lake Andrew,1.0
Lake Andrewland,1.0
Sotoville,1.0
Lake Angelamouth,1.0
Kaylaside,1.0
Katieburgh,1.0
Lake Stevenmouth,1.0
Kathyberg,1.0
South Gene,1.0
South Gavin,1.0
Johnnychester,1.0
Johnnyfort,1.0
South Erikshire,1.0
Johnside,1.0
Johnsonshire,1.0
South Erik,1.0
South Ericstad,1.0
South Ericside,1.0
Johnstontown,1.0
South Ericaside,1.0
South Emma,1.0
Jonathanstad,1.0
Jonathantown,1.0
Jonathonbury,1.0
Jonathonview,1.0
Jonchester,1.0
South Emilyborough,1.0
South Elizabethmouth,1.0
South Elizabeth,1.0
Johnathanshire,1.0
Jofurt,1.0
Joelfort,1.0
South Hector,1.0
South Jamesfort,1.0
Jesseport,1.0
South Jacob,1.0
South Isaac,1.0
South Hollytown,1.0
Jessicatown,1.0
Jessicaville,1.0
Jesuston,1.0
Jillfort,1.0
Jimenezfurt,1.0
Joelburgh,1.0
Jimenezmouth,1.0
South Heatherton,1.0
South Heatherbury,1.0
Jimton,1.0
Joanneside,1.0
Jocelynland,1.0
Jodifort,1.0
South Glennmouth,1.0
South Georgemouth,1.0
Jonesfort,1.0
South Eileen,1.0
South Edwardberg,1.0
Karlashire,1.0
Kaitlintown,1.0
South Connieberg,1.0
South Cody,1.0
Kaneshire,1.0
South Clifford,1.0
Karenburgh,1.0
Karenmouth,1.0
Karenport,1.0
Karenview,1.0
Katelynstad,1.0
Justinshire,1.0
South Christinamouth,1.0
South Christian,1.0
Katherineville,1.0
Kathleenberg,1.0
South Chad,1.0
South Cassandra,1.0
Kathleenshire,1.0
South Carolyn,1.0
South Carlside,1.0
Kaiserview,1.0
Justinport,1.0
Jonesview,1.0
Juanborough,1.0
Jonesville,1.0
South Donnaville,1.0
Josefurt,1.0
South Denise,1.0
Josephside,1.0
Josephview,1.0
South Deborahbury,1.0
Joshuaborough,1.0
South Darlene,1.0
South Danielmouth,1.0
Justinfort,1.0
Juanstad,1.0
South Danielbury,1.0
Judyburgh,1.0
Judyview,1.0
Juliaberg,1.0
South Dalebury,1.0
Juliefurt,1.0
Juliehaven,1.0
Julieton,1.0
Lake Cassieside,1.0
Lake Catherineside,1.0
Shorthaven,1.0
Sherrystad,1.0
Lake Marcusborough,1.0
Lake Mariatown,1.0
Lake Mariehaven,1.0
Ryanchester,1.0
Lake Marissaberg,1.0
Lake Marissastad,1.0
Lake Mark,1.0
Lake Markchester,1.0
Lake Martha,1.0
Lake Marthabury,1.0
Russellland,1.0
Lake Matthewchester,1.0
Russellfort,1.0
Lake Meganchester,1.0
Lake Meganland,1.0
Lake Meganview,1.0
Lake Meghan,1.0
Lake Melanie,1.0
Rubiohaven,1.0
Lake Melissachester,1.0
Lake Melissaville,1.0
Lake Madisonside,1.0
Lake Madisonchester,1.0
Lake Lorishire,1.0
Lake Laura,1.0
Lake Keithport,1.0
Lake Kellishire,1.0
Lake Kelly,1.0
Sandersview,1.0
Sandersshire,1.0
Sanchezland,1.0
Sanchezbury,1.0
Lake Kimborough,1.0
Lake Kristenfurt,1.0
Lake Lauraland,1.0
Lake Lorimouth,1.0
Samanthaburgh,1.0
Samanthaborough,1.0
Sallychester,1.0
Salazarfurt,1.0
Sabrinatown,1.0
Lake Lindsayberg,1.0
Ryantown,1.0
Lake Lori,1.0
Ryanside,1.0
Lake Michaelfurt,1.0
Royburgh,1.0
Lake Michaelshire,1.0
Lake Sarahview,1.0
Rodrigueztown,1.0
Rodriguezshire,1.0
Lake Russellbury,1.0
Lake Ryanburgh,1.0
Lake Sabrina,1.0
Rodneychester,1.0
Rodneyburgh,1.0
Rodgersborough,1.0
Robinsonstad,1.0
Lake Scottview,1.0
Rogersborough,1.0
Lake Shane,1.0
Lake Shawnhaven,1.0
Lake Shellyport,1.0
Lake Shirley,1.0
Robertsonview,1.0
Lake Stephanieberg,1.0
Lake Stephenhaven,1.0
Robertsbury,1.0
Lake Stevenbury,1.0
Rogerchester,1.0
Lake Richardstad,1.0
Rowemouth,1.0
Lake Noahfort,1.0
Rosemouth,1.0
Lake Miguelton,1.0
Rosalesland,1.0
Lake Monicaview,1.0
Ronniechester,1.0
Ronaldshire,1.0
