claim_id,policy_id,claimant_id,accident_id,claim_date,claim_amount,status,processing_days
C000001,P68350,CL69428,A000001,2024-06-26,49955,Pending,20
C000002,P20255,CL63892,A000002,2024-12-09,4085,Rejected,21
C000003,P24095,CL11173,A000003,2024-09-02,43573,Rejected,42
C000004,P47290,CL26292,A000004,2023-07-31,46839,Pending,60
C000005,P39179,CL70239,A000005,2023-03-23,26332,Rejected,13
C000006,P86923,CL14363,A000006,2024-11-06,16432,Pending,54
C000007,P85238,CL29862,A000007,2024-11-14,35764,Rejected,1
C000008,P78361,CL57169,A000008,2023-10-24,39829,Pending,37
C000009,P89516,CL47893,A000009,2023-09-07,7373,Approved,38
C000010,P47235,CL82938,A000010,2024-09-25,7782,Rejected,51
C000011,P89362,CL09886,A000011,2024-03-11,43638,Pending,17
C000012,P32086,CL34982,A000012,2024-11-03,25207,Pending,30
C000013,P83860,CL18345,A000013,2024-09-14,37255,Approved,45
C000014,P13773,CL32871,A000014,2025-01-13,20282,Rejected,14
C000015,P41414,CL45522,A000015,2024-02-16,11609,Rejected,20
C000016,P83053,CL62648,A000016,2024-09-24,47739,Pending,52
C000017,P73196,CL80791,A000017,2024-02-18,37483,Approved,14
C000018,P84001,CL97808,A000018,2024-12-22,41506,Approved,60
C000019,P21467,CL65325,A000019,2023-11-14,46976,Approved,12
C000020,P93042,CL15807,A000020,2023-07-19,6520,Approved,7
C000021,P27236,CL28032,A000021,2024-11-09,17205,Approved,55
C000022,P68918,CL09154,A000022,2024-06-19,34026,Approved,10
C000023,P44889,CL53740,A000023,2023-05-17,42365,Approved,25
C000024,P37593,CL98422,A000024,2024-08-03,48012,Pending,36
C000025,P33557,CL06700,A000025,2024-02-03,38129,Pending,36
C000026,P69120,CL11413,A000026,2023-09-01,25728,Pending,39
C000027,P75586,CL67604,A000027,2024-02-22,11909,Pending,50
C000028,P61199,CL49282,A000028,2025-02-21,14981,Approved,14
C000029,P34489,CL12424,A000029,2024-11-26,29002,Pending,20
C000030,P13490,CL23771,A000030,2023-11-25,43929,Pending,6
C000031,P40608,CL98671,A000031,2024-01-28,43751,Rejected,3
C000032,P48317,CL05759,A000032,2024-02-20,5557,Pending,11
C000033,P90260,CL01752,A000033,2025-02-05,36112,Pending,36
C000034,P90178,CL63257,A000034,2024-10-18,10314,Approved,59
C000035,P64350,CL05353,A000035,2023-03-21,47873,Pending,58
C000036,P40160,CL70394,A000036,2024-01-27,37027,Rejected,51
C000037,P39838,CL70523,A000037,2024-09-15,28618,Approved,34
C000038,P75637,CL78406,A000038,2024-01-18,29592,Rejected,26
C000039,P65588,CL45631,A000039,2024-09-16,36186,Rejected,18
C000040,P23461,CL07464,A000040,2024-10-23,14349,Approved,51
C000041,P44322,CL68149,A000041,2023-10-13,36048,Rejected,12
C000042,P10345,CL61050,A000042,2023-06-01,19586,Rejected,5
C000043,P93635,CL39835,A000043,2025-01-15,15349,Rejected,24
C000044,P40173,CL98803,A000044,2024-07-23,44177,Pending,8
C000045,P35389,CL97858,A000045,2024-05-15,45655,Rejected,56
C000046,P37291,CL44994,A000046,2023-07-29,9509,Pending,35
C000047,P23804,CL50103,A000047,2024-07-22,12087,Approved,29
C000048,P91396,CL33069,A000048,2023-12-25,41985,Pending,38
C000049,P58874,CL58447,A000049,2023-07-21,1054,Rejected,56
C000050,P42333,CL61778,A000050,2024-03-20,32345,Rejected,21
C000051,P21190,CL63022,A000051,2024-10-21,43017,Rejected,19
C000052,P33455,CL94636,A000052,2023-06-02,12109,Pending,35
C000053,P63186,CL31709,A000053,2025-02-02,524,Approved,36
C000054,P40620,CL94517,A000054,2024-05-04,47645,Pending,50
C000055,P28826,CL36364,A000055,2023-07-13,7488,Rejected,2
C000056,P47155,CL09441,A000056,2024-05-09,17506,Rejected,47
C000057,P39334,CL15669,A000057,2024-02-04,34784,Rejected,20
C000058,P88819,CL48753,A000058,2024-12-26,3510,Pending,47
C000059,P45422,CL22889,A000059,2024-05-10,25810,Rejected,34
C000060,P20990,CL88454,A000060,2024-05-16,28019,Rejected,13
C000061,P76287,CL86086,A000061,2024-07-16,29132,Approved,58
C000062,P85641,CL23413,A000062,2025-01-04,4506,Approved,5
C000063,P28526,CL45467,A000063,2024-10-11,551,Pending,40
C000064,P57040,CL51549,A000064,2025-01-19,49060,Approved,52
C000065,P95551,CL44243,A000065,2024-04-06,3074,Rejected,45
C000066,P46477,CL94577,A000066,2024-07-04,44536,Rejected,59
C000067,P38925,CL38173,A000067,2025-02-03,5179,Rejected,50
C000068,P94703,CL16889,A000068,2023-07-29,18077,Pending,30
C000069,P40147,CL48890,A000069,2024-03-21,46572,Approved,25
C000070,P11593,CL88081,A000070,2023-06-09,4570,Pending,58
C000071,P25853,CL10772,A000071,2023-10-03,23125,Pending,56
C000072,P71905,CL85239,A000072,2023-08-02,29670,Approved,15
C000073,P78824,CL24385,A000073,2024-08-01,46306,Approved,35
C000074,P91603,CL37764,A000074,2023-04-09,45942,Rejected,59
C000075,P77475,CL38962,A000075,2023-05-06,18867,Rejected,4
C000076,P44893,CL12369,A000076,2023-05-10,5659,Pending,48
C000077,P29943,CL42935,A000077,2024-08-01,3302,Rejected,26
C000078,P38227,CL15251,A000078,2024-04-17,4340,Rejected,30
C000079,P32330,CL12935,A000079,2024-09-30,39908,Rejected,6
C000080,P29543,CL94461,A000080,2024-12-15,23361,Rejected,35
C000081,P12135,CL64791,A000081,2024-03-08,1976,Approved,51
C000082,P79865,CL31462,A000082,2023-06-27,39823,Approved,39
C000083,P36271,CL24959,A000083,2023-05-03,45424,Rejected,33
