vehicle_id,make,model,year
V000001,Honda,Pass,2017
V000002,Ford,Foot,2004
V000003,Ford,Establish,2005
V000004,Ford,Face,2022
V000005,BMW,Wind,2005
V000006,Toyota,Dinner,2012
V000007,Ford,Small,2011
V000008,Ford,Present,2010
V000009,BMW,About,2004
V000010,Ford,Kid,2020
V000011,BMW,Senior,2003
V000012,Ford,Other,2003
V000013,Toyota,Later,2000
V000014,Honda,Coach,2019
V000015,Honda,Statement,2000
V000016,Ford,Point,2002
V000017,Honda,Commercial,2003
V000018,Toyota,Certain,2019
V000019,BMW,Role,2005
V000020,Honda,Baby,2014
V000021,Honda,Act,2017
V000022,Ford,Technology,2016
V000023,Toyota,Writer,2005
V000024,Ford,Rich,2015
V000025,Toyota,Long,2017
V000026,BMW,Expert,2020
V000027,Ford,General,2020
V000028,BMW,Wonder,2015
V000029,Ford,City,2014
V000030,Ford,Car,2004
V000031,Toyota,Begin,2004
V000032,Toyota,For,2010
V000033,BMW,Daughter,2005
V000034,Ford,Arrive,2009
V000035,Honda,Radio,2016
V000036,Toyota,Around,2003
V000037,Ford,Fall,2000
V000038,Ford,Tend,2006
V000039,Ford,Mention,2019
V000040,Toyota,Agree,2019
V000041,Honda,Enough,2004
V000042,Toyota,Third,2001
V000043,Ford,Image,2009
V000044,Ford,Happen,2003
V000045,BMW,Condition,2020
V000046,Toyota,Worry,2011
V000047,Ford,Hear,2004
V000048,Ford,Such,2020
V000049,Ford,Challenge,2001
V000050,Honda,Nearly,2012
V000051,Ford,Name,2001
V000052,Ford,Guess,2014
V000053,Toyota,Which,2016
V000054,Honda,Section,2022
V000055,Ford,Her,2017
V000056,Ford,Education,2000
V000057,Ford,Within,2021
V000058,Ford,Star,2014
V000059,BMW,Nation,2017
V000060,Honda,Memory,2014
V000061,Ford,Professor,2022
V000062,BMW,Decide,2014
V000063,Honda,Everyone,2009
V000064,BMW,Couple,2005
V000065,Honda,Focus,2020
V000066,Toyota,Interview,2017
V000067,Honda,Program,2003
V000068,Ford,Point,2008
V000069,BMW,Return,2003
V000070,Honda,Explain,2022
V000071,Toyota,Letter,2001
V000072,BMW,Debate,2004
V000073,Ford,Require,2004
V000074,Honda,Theory,2000
V000075,Toyota,Education,2004
V000076,Honda,Unit,2004
V000077,Honda,Ahead,2001
V000078,Toyota,Power,2004
V000079,BMW,Husband,2001
V000080,Ford,Those,2013
V000081,BMW,Simple,2004
V000082,Ford,Matter,2009
V000083,Ford,Blue,2021
V000084,Honda,Know,2000
V000085,Ford,White,2016
V000086,Ford,Mind,2007
V000087,BMW,Moment,2023
V000088,BMW,According,2011
V000089,Ford,Cell,2002
V000090,Ford,Recently,2011
V000091,Ford,Old,2011
V000092,BMW,Step,2019
V000093,Ford,Question,2015
V000094,BMW,Personal,2000
V000095,Honda,Southern,2000
V000096,Toyota,Quality,2016
V000097,Ford,Pick,2012
V000098,BMW,Pattern,2012
V000099,Ford,Eye,2013
V000100,Ford,With,2011
V000101,Honda,Father,2005
V000102,Honda,Both,2017
V000103,Honda,Black,2019
V000104,Honda,Ball,2014
V000105,Honda,Floor,2014
V000106,Honda,Drive,2001
V000107,Toyota,She,2023
V000108,BMW,Feeling,2012
V000109,Ford,Many,2021
V000110,Toyota,Growth,2021
V000111,BMW,Fast,2000
V000112,BMW,Phone,2023
V000113,Ford,Skin,2021
V000114,Honda,Energy,2013
V000115,Ford,Quickly,2002
V000116,BMW,Reduce,2007
V000117,Toyota,Break,2015
V000118,Ford,Generation,2007
V000119,Ford,Agreement,2007
V000120,Honda,Relationship,2021
V000121,Ford,Fly,2002
V000122,BMW,Small,2010
V000123,Toyota,Make,2007
V000124,Honda,Into,2008
V000125,Honda,Manage,2008
V000126,BMW,Surface,2023
V000127,Honda,Kid,2009
V000128,Honda,Treatment,2020
V000129,Toyota,Low,2012
V000130,Toyota,Animal,2015
V000131,Honda,Speech,2003
V000132,Toyota,Front,2007
V000133,BMW,Model,2009
V000134,BMW,Law,2010
V000135,BMW,Value,2003
V000136,Honda,World,2019
V000137,Honda,Large,2001
V000138,BMW,Event,2006
V000139,Honda,Future,2016
V000140,BMW,Always,2004
V000141,BMW,Data,2002
V000142,BMW,Pay,2003
V000143,Ford,Safe,2004
V000144,BMW,Left,2018
V000145,Honda,Build,2018
V000146,Honda,Budget,2000
V000147,Ford,Hundred,2022
V000148,BMW,Mother,2004
V000149,Honda,Source,2017
V000150,Ford,Message,2013
V000151,Toyota,Likely,2004
V000152,Ford,Fish,2011
V000153,Honda,Serious,2007
V000154,Honda,Speak,2010
V000155,Honda,Word,2020
V000156,BMW,Grow,2008
V000157,Toyota,Left,2003
V000158,Honda,Film,2009
V000159,BMW,Program,2023
V000160,Ford,Whole,2002
V000161,Honda,Everyone,2017
V000162,Toyota,Agent,2017
V000163,BMW,Throw,2017
V000164,BMW,Blood,2022
V000165,Toyota,President,2004
V000166,Toyota,Customer,2006
V000167,Honda,Major,2001
V000168,Ford,Main,2008
V000169,BMW,Control,2023
V000170,Honda,East,2019
V000171,Toyota,Bank,2014
V000172,BMW,There,2019
V000173,BMW,Capital,2005
V000174,BMW,Fear,2005
V000175,Honda,Through,2016
V000176,Toyota,Dark,2014
V000177,Honda,Address,2003
V000178,BMW,Wait,2009
V000179,BMW,People,2007
V000180,Toyota,Director,2017
V000181,Ford,Base,2007
V000182,Toyota,Stock,2008
V000183,Honda,Film,2016
V000184,Toyota,Couple,2019
V000185,Ford,Choice,2012
V000186,Honda,Second,2001
V000187,Toyota,Author,2000
V000188,Honda,National,2023
V000189,Ford,Cover,2001
V000190,Honda,Time,2003
V000191,BMW,World,2008
V000192,Ford,Those,2016
V000193,BMW,Say,2019
V000194,Honda,Home,2011
V000195,Toyota,Evening,2000
V000196,Ford,Ago,2018
V000197,Honda,Charge,2012
V000198,BMW,Pick,2020
V000199,Ford,Happy,2007
V000200,Ford,Exactly,2011
V000201,Honda,Discover,2020
V000202,BMW,Dream,2017
V000203,Ford,Sit,2006
V000204,BMW,Might,2017
V000205,Honda,Meeting,2023
V000206,BMW,Attack,2001
V000207,BMW,More,2021
V000208,Ford,Line,2007
V000209,Honda,Far,2010
V000210,Toyota,Thought,2021
V000211,Honda,Recently,2016
V000212,Toyota,Baby,2005
V000213,Honda,Base,2015
V000214,Honda,Thank,2018
V000215,Ford,Must,2016
V000216,BMW,Environment,2020
V000217,Toyota,Land,2020
V000218,Toyota,Throw,2002
V000219,Toyota,Class,2004
V000220,Ford,Property,2022
V000221,Honda,By,2023
V000222,Toyota,From,2006
V000223,Ford,Positive,2022
V000224,Honda,Anything,2000
V000225,Toyota,Herself,2017
V000226,BMW,Eight,2003
V000227,Ford,Result,2004
V000228,Toyota,Per,2002
V000229,BMW,Executive,2000
V000230,Toyota,Section,2015
V000231,BMW,Generation,2006
V000232,Ford,Identify,2009
V000233,BMW,Suddenly,2010
V000234,Honda,Certainly,2020
V000235,Ford,Quality,2008
V000236,BMW,Tend,2000
V000237,Toyota,Nature,2018
V000238,Toyota,Kitchen,2017
V000239,BMW,Particular,2007
V000240,Ford,Piece,2007
V000241,Toyota,City,2012
V000242,Ford,Very,2021
V000243,Ford,Group,2009
V000244,Honda,Although,2005
V000245,BMW,Close,2021
V000246,Honda,Three,2017
V000247,Toyota,Term,2022
V000248,Toyota,Contain,2010
V000249,Toyota,Discuss,2018
V000250,Honda,Debate,2002
V000251,Honda,Teacher,2007
V000252,Honda,To,2017
V000253,Ford,Rate,2005
V000254,BMW,Dream,2023
V000255,Honda,Reason,2009
V000256,Honda,Near,2004
V000257,Honda,Member,2009
V000258,Toyota,Join,2007
V000259,BMW,After,2023
V000260,Honda,Poor,2019
V000261,Ford,Stage,2018
V000262,BMW,Story,2005
V000263,Toyota,Artist,2016
V000264,Honda,Theory,2017
V000265,Honda,As,2013
V000266,Ford,Herself,2011
V000267,Honda,Red,2002
V000268,Toyota,Agency,2016
V000269,Ford,Paper,2016
V000270,Honda,Word,2010
V000271,BMW,Budget,2012
V000272,BMW,Impact,2008
V000273,Ford,Travel,2005
V000274,Honda,Care,2000
V000275,Toyota,General,2002
V000276,Honda,Policy,2005
V000277,Toyota,Sign,2001
V000278,Toyota,Company,2000
V000279,Toyota,Heart,2002
V000280,Toyota,Nature,2005
V000281,BMW,Save,2019
V000282,Toyota,If,2012
V000283,Honda,This,2021
V000284,BMW,Fight,2000
V000285,Ford,Song,2017
V000286,Toyota,Contain,2014
V000287,Toyota,Audience,2001
V000288,BMW,Really,2023
V000289,Ford,Establish,2000
V000290,Ford,Material,2000
V000291,BMW,Fly,2016
V000292,Honda,Wonder,2019
V000293,Toyota,Can,2003
V000294,Honda,Him,2009
V000295,Honda,Marriage,2012
V000296,Honda,Challenge,2003
V000297,BMW,Voice,2005
V000298,Toyota,Adult,2021
V000299,Honda,Court,2000
V000300,Honda,Article,2002
V000301,Ford,Box,2020
V000302,Ford,Man,2002
V000303,Toyota,Mr,2000
V000304,BMW,Or,2005
V000305,Honda,Spring,2011
V000306,Ford,Seek,2018
V000307,Toyota,Life,2000
V000308,Ford,Who,2020
V000309,BMW,Economy,2017
V000310,Honda,Because,2003
V000311,Toyota,Ability,2010
V000312,Toyota,Position,2017
V000313,BMW,Type,2019
V000314,Ford,Room,2002
V000315,Toyota,Continue,2008
V000316,Toyota,Court,2000
V000317,Ford,Throughout,2018
V000318,Toyota,Former,2008
V000319,BMW,Then,2003
V000320,Ford,Girl,2013
V000321,Honda,Model,2000
V000322,Toyota,Move,2013
V000323,BMW,Beautiful,2018
V000324,BMW,Explain,2022
V000325,Toyota,Among,2021
V000326,Honda,Run,2020
V000327,BMW,Only,2017
V000328,Toyota,Guess,2001
V000329,Ford,Buy,2014
V000330,Honda,Move,2005
V000331,Ford,Coach,2021
V000332,Toyota,Head,2002
V000333,Honda,Fly,2004
V000334,Honda,Fish,2009
V000335,Honda,Three,2013
V000336,Ford,Really,2008
V000337,Honda,Plan,2021
V000338,BMW,South,2000
V000339,BMW,Much,2010
V000340,BMW,Partner,2008
V000341,Honda,Animal,2002
V000342,Ford,Recognize,2001
V000343,BMW,Any,2011
V000344,Honda,Too,2006
V000345,Honda,Suddenly,2006
V000346,Ford,Who,2015
V000347,Toyota,Media,2013
V000348,Ford,Goal,2019
V000349,Honda,Make,2020
V000350,Honda,Agree,2023
V000351,Toyota,Wide,2021
V000352,Ford,Hope,2014
V000353,Honda,Tough,2001
V000354,Honda,Mission,2018
V000355,Toyota,Draw,2005
V000356,Honda,Beat,2021
V000357,Toyota,Not,2015
V000358,Toyota,Rock,2011
V000359,Honda,Report,2007
V000360,BMW,Second,2017
V000361,Ford,Hit,2018
V000362,Toyota,Account,2001
V000363,BMW,Identify,2008
V000364,Honda,Mouth,2007
V000365,Toyota,Write,2010
V000366,BMW,Pressure,2002
V000367,BMW,Tax,2006
V000368,Toyota,In,2021
V000369,Toyota,Hold,2005
V000370,Ford,Report,2010
V000371,Ford,Dog,2022
V000372,Ford,Summer,2023
V000373,Ford,Visit,2011
V000374,Honda,Run,2019
V000375,BMW,Environmental,2008
V000376,Honda,Study,2012
V000377,Toyota,Much,2000
V000378,Ford,Rock,2018
V000379,Honda,Buy,2014
V000380,Honda,Get,2006
V000381,Toyota,Grow,2004
V000382,Honda,Father,2018
V000383,BMW,Political,2000
V000384,Ford,Beautiful,2018
V000385,BMW,Collection,2018
V000386,Toyota,American,2005
V000387,Honda,We,2014
V000388,BMW,Team,2021
V000389,BMW,Himself,2020
V000390,Ford,Full,2011
V000391,BMW,Contain,2013
V000392,Ford,End,2018
V000393,BMW,Bank,2003
V000394,Ford,Their,2011
V000395,Ford,Officer,2020
V000396,Toyota,Score,2017
V000397,Honda,Memory,2002
V000398,Toyota,Center,2019
V000399,Honda,Season,2000
V000400,Toyota,Election,2008
V000401,Toyota,Appear,2000
V000402,Ford,Win,2016
V000403,Toyota,Kitchen,2022
V000404,Honda,Become,2018
V000405,Ford,Just,2020
V000406,Toyota,House,2010
V000407,Toyota,True,2006
V000408,Ford,Professional,2007
V000409,Ford,Culture,2022
V000410,BMW,Go,2008
V000411,Ford,Maintain,2004
V000412,BMW,Trouble,2015
V000413,Toyota,Begin,2022
V000414,Toyota,Fill,2004
V000415,Honda,Lawyer,2014
V000416,Ford,Society,2000
V000417,Toyota,Animal,2011
V000418,Honda,Physical,2004
V000419,Honda,Argue,2010
V000420,BMW,Enough,2011
V000421,BMW,Somebody,2007
V000422,Toyota,Where,2011
V000423,BMW,Mean,2006
V000424,Ford,Good,2010
V000425,Honda,Also,2020
V000426,Toyota,Health,2010
V000427,Ford,Speak,2005
V000428,Honda,Still,2000
V000429,Honda,Office,2014
V000430,Honda,Lead,2012
V000431,Ford,Third,2014
V000432,Ford,Respond,2011
V000433,Honda,Part,2015
V000434,Ford,Enough,2023
V000435,Toyota,Peace,2019
V000436,BMW,Late,2003
V000437,Toyota,Star,2001
V000438,Ford,Out,2013
V000439,Ford,City,2019
V000440,Toyota,Imagine,2003
V000441,Ford,Quite,2020
V000442,Honda,Resource,2002
V000443,Ford,Man,2005
V000444,Honda,Factor,2014
V000445,Toyota,Top,2023
V000446,Toyota,Leave,2009
V000447,Ford,Suffer,2021
V000448,Ford,Speak,2012
V000449,Honda,Black,2012
V000450,Honda,Else,2019
V000451,BMW,Rule,2006
V000452,Toyota,Threat,2015
V000453,Honda,Possible,2022
V000454,Honda,Seem,2014
V000455,BMW,Himself,2011
V000456,Toyota,Simple,2009
V000457,Ford,Something,2017
V000458,Toyota,Person,2000
V000459,Toyota,Left,2012
V000460,Honda,Fund,2003
V000461,Honda,Example,2002
V000462,Toyota,Hour,2023
V000463,BMW,Of,2013
V000464,Ford,Bag,2020
V000465,Ford,Hope,2021
V000466,Ford,This,2005
V000467,Toyota,Of,2009
V000468,Toyota,Return,2000
V000469,Ford,International,2000
V000470,Toyota,So,2002
V000471,BMW,Mean,2021
V000472,Ford,Imagine,2016
V000473,Toyota,State,2010
V000474,Toyota,Design,2017
V000475,BMW,Plan,2003
V000476,Ford,Point,2023
V000477,Ford,Art,2014
V000478,Honda,Tonight,2018
V000479,Honda,Last,2002
V000480,Toyota,Book,2015
V000481,Toyota,Sign,2014
V000482,Ford,Deep,2022
V000483,BMW,Former,2001
V000484,Ford,Within,2007
V000485,Ford,Also,2017
V000486,BMW,Site,2015
V000487,Toyota,Consider,2003
V000488,Honda,Explain,2023
V000489,Honda,Sure,2016
V000490,Ford,Agency,2020
V000491,BMW,Image,2014
V000492,Ford,Miss,2018
V000493,BMW,Because,2019
V000494,BMW,Teach,2021
V000495,BMW,Paper,2021
V000496,Toyota,Condition,2004
V000497,Honda,Build,2020
V000498,Toyota,Cold,2006
V000499,BMW,Card,2021
V000500,Toyota,Notice,2015
V000501,Ford,Resource,2018
V000502,BMW,Want,2013
V000503,Ford,Mr,2008
V000504,Ford,Attention,2006
V000505,BMW,Successful,2002
V000506,Toyota,Move,2021
V000507,BMW,Direction,2012
V000508,Toyota,Business,2006
V000509,Toyota,Why,2018
V000510,BMW,Maintain,2001
V000511,Honda,Beyond,2008
V000512,Ford,Inside,2019
V000513,Toyota,Analysis,2013
V000514,BMW,Federal,2006
V000515,BMW,Parent,2019
V000516,Toyota,From,2016
V000517,Ford,Hour,2012
V000518,Honda,Indeed,2008
V000519,Toyota,Contain,2010
V000520,BMW,Ask,2014
V000521,Honda,Civil,2007
V000522,BMW,Trip,2017
V000523,Honda,Year,2023
V000524,Honda,Risk,2000
V000525,BMW,Product,2007
V000526,Honda,Might,2011
V000527,Toyota,Add,2008
V000528,Ford,Seven,2007
V000529,BMW,Quite,2004
