claim_id,accident_id,claimant_id,vehicle_id,policy_id_y,claim_date,claim_amount,status,processing_days
C000001,A000001,CL69428,V000001,P68350,2024-06-26,49955,Pending,20
C000002,A000002,CL63892,V000002,P20255,2024-12-09,4085,Rejected,21
C000003,A000003,CL11173,V000003,P24095,2024-09-02,43573,Rejected,42
C000004,A000004,CL26292,V000004,P47290,2023-07-31,46839,Pending,60
C000005,A000005,CL70239,V000005,P39179,2023-03-23,26332,Rejected,13
C000006,A000006,CL14363,V000006,P86923,2024-11-06,16432,Pending,54
C000007,A000007,CL29862,V000007,P85238,2024-11-14,35764,Rejected,1
C000008,A000008,CL57169,V000008,P78361,2023-10-24,39829,Pending,37
C000009,A000009,CL47893,V000009,P89516,2023-09-07,7373,Approved,38
C000010,A000010,CL82938,V000010,P47235,2024-09-25,7782,Rejected,51
C000011,A000011,CL09886,V000011,P89362,2024-03-11,43638,Pending,17
C000012,A000012,CL34982,V000012,P32086,2024-11-03,25207,Pending,30
C000013,A000013,CL18345,V000013,P83860,2024-09-14,37255,Approved,45
C000014,A000014,CL32871,V000014,P13773,2025-01-13,20282,Rejected,14
C000015,A000015,CL45522,V000015,P41414,2024-02-16,11609,Rejected,20
C000016,A000016,CL62648,V000016,P83053,2024-09-24,47739,Pending,52
C000017,A000017,CL80791,V000017,P73196,2024-02-18,37483,Approved,14
C000018,A000018,CL97808,V000018,P84001,2024-12-22,41506,Approved,60
C000019,A000019,CL65325,V000019,P21467,2023-11-14,46976,Approved,12
C000020,A000020,CL15807,V000020,P93042,2023-07-19,6520,Approved,7
C000021,A000021,CL28032,V000021,P27236,2024-11-09,17205,Approved,55
C000022,A000022,CL09154,V000022,P68918,2024-06-19,34026,Approved,10
C000023,A000023,CL53740,V000023,P44889,2023-05-17,42365,Approved,25
C000024,A000024,CL98422,V000024,P37593,2024-08-03,48012,Pending,36
C000025,A000025,CL06700,V000025,P33557,2024-02-03,38129,Pending,36
C000026,A000026,CL11413,V000026,P69120,2023-09-01,25728,Pending,39
C000027,A000027,CL67604,V000027,P75586,2024-02-22,11909,Pending,50
C000028,A000028,CL49282,V000028,P61199,2025-02-21,14981,Approved,14
C000029,A000029,CL12424,V000029,P34489,2024-11-26,29002,Pending,20
C000030,A000030,CL23771,V000030,P13490,2023-11-25,43929,Pending,6
C000031,A000031,CL98671,V000031,P40608,2024-01-28,43751,Rejected,3
C000032,A000032,CL05759,V000032,P48317,2024-02-20,5557,Pending,11
C000033,A000033,CL01752,V000033,P90260,2025-02-05,36112,Pending,36
C000034,A000034,CL63257,V000034,P90178,2024-10-18,10314,Approved,59
C000035,A000035,CL05353,V000035,P64350,2023-03-21,47873,Pending,58
C000036,A000036,CL70394,V000036,P40160,2024-01-27,37027,Rejected,51
C000037,A000037,CL70523,V000037,P39838,2024-09-15,28618,Approved,34
C000038,A000038,CL78406,V000038,P75637,2024-01-18,29592,Rejected,26
C000039,A000039,CL45631,V000039,P65588,2024-09-16,36186,Rejected,18
C000040,A000040,CL07464,V000040,P23461,2024-10-23,14349,Approved,51
C000041,A000041,CL68149,V000041,P44322,2023-10-13,36048,Rejected,12
C000042,A000042,CL61050,V000042,P10345,2023-06-01,19586,Rejected,5
C000043,A000043,CL39835,V000043,P93635,2025-01-15,15349,Rejected,24
C000044,A000044,CL98803,V000044,P40173,2024-07-23,44177,Pending,8
C000045,A000045,CL97858,V000045,P35389,2024-05-15,45655,Rejected,56
C000046,A000046,CL44994,V000046,P37291,2023-07-29,9509,Pending,35
C000047,A000047,CL50103,V000047,P23804,2024-07-22,12087,Approved,29
C000048,A000048,CL33069,V000048,P91396,2023-12-25,41985,Pending,38
C000049,A000049,CL58447,V000049,P58874,2023-07-21,1054,Rejected,56
C000050,A000050,CL61778,V000050,P42333,2024-03-20,32345,Rejected,21
C000051,A000051,CL63022,V000051,P21190,2024-10-21,43017,Rejected,19
C000052,A000052,CL94636,V000052,P33455,2023-06-02,12109,Pending,35
C000053,A000053,CL31709,V000053,P63186,2025-02-02,524,Approved,36
C000054,A000054,CL94517,V000054,P40620,2024-05-04,47645,Pending,50
C000055,A000055,CL36364,V000055,P28826,2023-07-13,7488,Rejected,2
C000056,A000056,CL09441,V000056,P47155,2024-05-09,17506,Rejected,47
C000057,A000057,CL15669,V000057,P39334,2024-02-04,34784,Rejected,20
C000058,A000058,CL48753,V000058,P88819,2024-12-26,3510,Pending,47
C000059,A000059,CL22889,V000059,P45422,2024-05-10,25810,Rejected,34
