vehicle_id,accident_id,make,model,year
V000001,A000001,Honda,Pass,2017
V000002,A000002,Ford,Foot,2004
V000003,A000003,Ford,Establish,2005
V000004,A000004,Ford,Face,2022
V000005,A000005,BMW,Wind,2005
V000006,A000006,Toyota,Dinner,2012
V000007,A000007,Ford,Small,2011
V000008,A000008,Ford,Present,2010
V000009,A000009,BMW,About,2004
V000010,A000010,Ford,Kid,2020
V000011,A000011,BMW,Senior,2003
V000012,A000012,Ford,Other,2003
V000013,A000013,Toyota,Later,2000
V000014,A000014,Honda,Coach,2019
V000015,A000015,Honda,Statement,2000
V000016,A000016,Ford,Point,2002
V000017,A000017,Honda,Commercial,2003
V000018,A000018,Toyota,Certain,2019
V000019,A000019,BMW,Role,2005
V000020,A000020,Honda,Baby,2014
V000021,A000021,Honda,Act,2017
V000022,A000022,Ford,Technology,2016
V000023,A000023,Toyota,Writer,2005
V000024,A000024,Ford,Rich,2015
V000025,A000025,Toyota,Long,2017
V000026,A000026,BMW,Expert,2020
V000027,A000027,Ford,General,2020
V000028,A000028,BMW,Wonder,2015
V000029,A000029,Ford,City,2014
V000030,A000030,Ford,Car,2004
V000031,A000031,Toyota,Begin,2004
V000032,A000032,Toyota,For,2010
V000033,A000033,BMW,Daughter,2005
V000034,A000034,Ford,Arrive,2009
V000035,A000035,Honda,Radio,2016
V000036,A000036,Toyota,Around,2003
V000037,A000037,Ford,Fall,2000
V000038,A000038,Ford,Tend,2006
V000039,A000039,Ford,Mention,2019
V000040,A000040,Toyota,Agree,2019
V000041,A000041,Honda,Enough,2004
V000042,A000042,Toyota,Third,2001
V000043,A000043,Ford,Image,2009
V000044,A000044,Ford,Happen,2003
V000045,A000045,BMW,Condition,2020
V000046,A000046,Toyota,Worry,2011
V000047,A000047,Ford,Hear,2004
V000048,A000048,Ford,Such,2020
V000049,A000049,Ford,Challenge,2001
V000050,A000050,Honda,Nearly,2012
V000051,A000051,Ford,Name,2001
V000052,A000052,Ford,Guess,2014
V000053,A000053,Toyota,Which,2016
V000054,A000054,Honda,Section,2022
V000055,A000055,Ford,Her,2017
V000056,A000056,Ford,Education,2000
V000057,A000057,Ford,Within,2021
V000058,A000058,Ford,Star,2014
V000059,A000059,BMW,Nation,2017
V000060,A000060,Honda,Memory,2014
V000061,A000061,Ford,Professor,2022
V000062,A000062,BMW,Decide,2014
V000063,A000063,Honda,Everyone,2009
V000064,A000064,BMW,Couple,2005
V000065,A000065,Honda,Focus,2020
V000066,A000066,Toyota,Interview,2017
V000067,A000067,Honda,Program,2003
V000068,A000068,Ford,Point,2008
V000069,A000069,BMW,Return,2003
V000070,A000070,Honda,Explain,2022
V000071,A000071,Toyota,Letter,2001
V000072,A000072,BMW,Debate,2004
V000073,A000073,Ford,Require,2004
V000074,A000074,Honda,Theory,2000
V000075,A000075,Toyota,Education,2004
V000076,A000076,Honda,Unit,2004
V000077,A000077,Honda,Ahead,2001
V000078,A000078,Toyota,Power,2004
V000079,A000079,BMW,Husband,2001
V000080,A000080,Ford,Those,2013
V000081,A000081,BMW,Simple,2004
